"dong","행정동코드","건물명","상세건물명","건물용도코드","건물용도","lat","long","지상층수","지하층수","연면적"
"장위2동",11290770,NA,NA,1000,"단독주택",37.615747936083,127.051844361848,1,1,103.94
"장위2동",11290770,NA,NA,1001,"단독주택",37.6157257136541,127.051950692605,1,1,97.43
"장위2동",11290770,NA,NA,1000,"단독주택",37.6161951878176,127.051009373365,2,1,131.82
"장위2동",11290770,NA,NA,1003,"다가구주택",37.616365322095,127.051043421707,3,1,211.89
"장위2동",11290770,"우리은행체육관(제2합숙소)",NA,3020,"체육도장",37.6164752975282,127.051434164302,0,0,873.34
"장위2동",11290770,"우리은행체육관(제2합숙소)",NA,3020,"체육도장",37.6161337159292,127.051399488594,0,0,765.4
"장위2동",11290770,NA,NA,1000,"단독주택",37.6164161597996,127.049349179655,2,1,170.5
"장위2동",11290770,NA,NA,1000,"단독주택",37.6163574843603,127.04944323042,2,1,174.44
"장위2동",11290770,NA,NA,1001,"단독주택",37.616251987979,127.049336238254,1,0,88.72
"장위2동",11290770,NA,NA,1000,"단독주택",37.6162975474487,127.049542533986,2,1,189.22
"장위2동",11290770,NA,NA,1000,"단독주택",37.6162212882846,127.049672566905,2,1,179.6
"장위2동",11290770,NA,NA,1000,"단독주택",37.6161171316672,127.049555640946,1,0,83.53
"장위2동",11290770,NA,NA,1003,"다가구주택",37.61605538405,127.049666859458,2,1,180.24
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6161059915072,127.049869719455,2,1,177.22
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6160481583504,127.049967114155,2,1,171.1
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6158623854714,127.04998966615,3,1,207
"장위2동",11290770,NA,NA,1001,"단독주택",37.6158175296301,127.050094418167,1,1,101.7
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6158884201692,127.050230366833,2,1,130.04
"장위2동",11290770,NA,NA,1001,"단독주택",37.615817546402,127.050334501528,1,1,90.52
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6157231878607,127.050213794382,3,0,201.93
"장위2동",11290770,NA,NA,3001,"소매점",37.616485775863,127.049220031106,0,0,155.57
"장위2동",11290770,NA,NA,1000,"단독주택",37.6115979722637,127.055425844081,1,0,63.23
"장위2동",11290770,NA,NA,1001,"단독주택",37.6117272906318,127.055515210198,1,1,56.59
"장위2동",11290770,NA,NA,1001,"단독주택",37.6117026699774,127.055389468807,1,0,56.56
"장위2동",11290770,NA,NA,1001,"단독주택",37.611805309236,127.055462215556,1,0,64.06
"장위2동",11290770,NA,NA,1001,"단독주택",37.611872118498,127.055390429976,1,0,65.09
"장위2동",11290770,NA,NA,1000,"단독주택",37.6112350203565,127.055690327425,0,0,54.53
"장위2동",11290770,NA,NA,1000,"단독주택",37.6111871381262,127.055619660641,0,0,40.01
"장위2동",11290770,NA,NA,1000,"단독주택",37.6111583926353,127.055359888893,2,1,168.84
"장위2동",11290770,NA,NA,1001,"단독주택",37.6109672124301,127.055357998973,0,0,118.16
"장위2동",11290770,NA,NA,1001,"단독주택",37.6109211183207,127.055265740265,0,0,62.33
"장위2동",11290770,NA,NA,1000,"단독주택",37.6110333644476,127.055074534533,0,0,62.66
"장위2동",11290770,NA,NA,1001,"단독주택",37.6110328638341,127.054907981969,1,1,58.88
"장위2동",11290770,NA,NA,1001,"단독주택",37.6110989608133,127.055016050891,1,0,58.17
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6110108838212,127.05481086152,2,1,104.9
"장위2동",11290770,NA,NA,2003,"다세대주택",37.6112729389673,127.054965696783,4,0,406.28
"장위2동",11290770,"우성네스트빌",NA,2003,"다세대주택",37.611222894125,127.054695108745,4,0,517.76
"장위2동",11290770,NA,NA,2003,"다세대주택",37.6113640561271,127.054887652623,4,0,420.4
"장위2동",11290770,NA,NA,1000,"단독주택",37.6124974272863,127.057520571863,2,1,117.5
"장위2동",11290770,NA,NA,1001,"단독주택",37.6125535005722,127.057462119009,1,1,56.96
"장위2동",11290770,NA,NA,1000,"단독주택",37.6126137312153,127.057611480298,1,1,50.13
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6123064729639,127.057921005063,2,1,163.52
