code,province,dong,acc
1115071,양천구,목5동,4
1115072,양천구,신정4동,3
1116051,강서구,염창동,2
1116052,강서구,등촌1동,2
1116053,강서구,등촌2동,0
1116054,강서구,등촌3동,3
1116055,강서구,화곡본동,0
1116057,강서구,화곡2동,0
1116058,강서구,화곡3동,0
1116059,강서구,화곡4동,1
1116061,강서구,화곡6동,0
1116063,강서구,화곡8동,0
1116064,강서구,가양1동,5
1116065,강서구,가양2동,0
1116066,강서구,가양3동,1
1116067,강서구,발산1동,3
1116069,강서구,공항동,2
1116070,강서구,방화1동,1
1116071,강서구,방화2동,0
1116072,강서구,방화3동,0
1116073,강서구,화곡1동,2
1116074,강서구,우장산동,1
1117051,구로구,신도림동,5
1117052,구로구,구로1동,0
1117054,구로구,구로3동,7
1117055,구로구,구로4동,0
1117056,구로구,구로5동,2
1117061,구로구,고척1동,1
1117062,구로구,고척2동,0
1117064,구로구,개봉2동,0
1117065,구로구,개봉3동,0
1117067,구로구,오류1동,1
1117068,구로구,오류2동,0
1117069,구로구,수궁동,0
1117070,구로구,가리봉동,0
1117071,구로구,구로2동,0
1117072,구로구,개봉1동,0
1118051,금천구,가산동,11
1118052,금천구,독산1동,1
1118053,금천구,독산2동,0
1118054,금천구,독산3동,1
1118055,금천구,독산4동,0
1118057,금천구,시흥1동,3
1118058,금천구,시흥2동,0
1118059,금천구,시흥3동,0
1118060,금천구,시흥4동,0
1118061,금천구,시흥5동,0
1119054,영등포구,여의동,19
1119055,영등포구,당산1동,0
1119056,영등포구,당산2동,3
1119061,영등포구,양평1동,0
1119062,영등포구,양평2동,3
1119063,영등포구,신길1동,0
1119065,영등포구,신길3동,1
1119066,영등포구,신길4동,0
1119067,영등포구,신길5동,0
1119068,영등포구,신길6동,1
1119069,영등포구,신길7동,0
1119070,영등포구,대림1동,0
1119071,영등포구,대림2동,0
1119072,영등포구,대림3동,0
1119073,영등포구,영등포본동,1
1119074,영등포구,영등포동,10
1119075,영등포구,도림동,0
1119076,영등포구,문래동,3
1120052,동작구,노량진2동,0
1120053,동작구,상도1동,3
1120054,동작구,상도2동,0
1120055,동작구,상도3동,1
1120056,동작구,상도4동,0
1120063,동작구,사당1동,5
1120065,동작구,사당3동,1
1120066,동작구,사당4동,0
1120067,동작구,사당5동,0
1120068,동작구,대방동,0
1120069,동작구,신대방1동,0
1120070,동작구,신대방2동,1
1120071,동작구,흑석동,2
1120072,동작구,노량진1동,3
1120073,동작구,사당2동,0
1121052,관악구,보라매동,1
1121054,관악구,청림동,0
1121057,관악구,행운동,0
1121058,관악구,낙성대동,2
1121061,관악구,중앙동,1
1121062,관악구,인헌동,1
1121063,관악구,남현동,1
1121064,관악구,서원동,3
1121065,관악구,신원동,0
1121066,관악구,서림동,0
1121068,관악구,신사동_관,0
1121069,관악구,신림동,2
1121071,관악구,난향동,0
1121072,관악구,조원동,1
1121073,관악구,대학동,0
1121078,관악구,은천동,0
1121079,관악구,성현동,0
1121080,관악구,청룡동,2
1121081,관악구,난곡동,0
1121082,관악구,삼성동,0
1121083,관악구,미성동,0
1122051,서초구,서초1동,5
1122052,서초구,서초2동,5
1122053,서초구,서초3동,7
1122054,서초구,서초4동,8
1122055,서초구,잠원동,3
1122056,서초구,반포본동,0
1122057,서초구,반포1동,2
1122058,서초구,반포2동,0
1122059,서초구,반포3동,1
1122060,서초구,반포4동,7
1122061,서초구,방배본동,1
1122062,서초구,방배1동,3
1122063,서초구,방배2동,1
1122064,서초구,방배3동,1
1122065,서초구,방배4동,4
1122066,서초구,양재1동,4
1122067,서초구,양재2동,1
1122068,서초구,내곡동,2
1123051,강남구,신사동_강,0
1123052,강남구,논현1동,6
1123053,강남구,논현2동,8
1123058,강남구,삼성1동,11
1123059,강남구,삼성2동,6
1123060,강남구,대치1동,4
1123063,강남구,대치4동,3
1123064,강남구,역삼1동,21
1123065,강남구,역삼2동,5
1123066,강남구,도곡1동,2
1123067,강남구,도곡2동,1
1123068,강남구,개포1동,0
1123071,강남구,개포4동,1
1123072,강남구,일원본동,0
1123073,강남구,일원1동,0
1123074,강남구,일원2동,0
1123075,강남구,수서동,2
1123076,강남구,세곡동,0
1123077,강남구,압구정동,9
1123078,강남구,청담동,7
1123079,강남구,대치2동,6
1123080,강남구,개포2동,0
1124051,송파구,풍납1동,0
1124052,송파구,풍납2동,0
1124053,송파구,거여1동,0
1124054,송파구,거여2동,0
1124055,송파구,마천1동,0
1124056,송파구,마천2동,0
1124057,송파구,방이1동,2
1124058,송파구,방이2동,2
1124059,송파구,오륜동,1
1124060,송파구,오금동,1
1124061,송파구,송파1동,4
1124062,송파구,송파2동,0
1124063,송파구,석촌동,1
1124064,송파구,삼전동,1
1124065,송파구,가락본동,2
1124066,송파구,가락1동,1
1124067,송파구,가락2동,3
1124068,송파구,문정1동,0
1124069,송파구,문정2동,8
1124071,송파구,잠실본동,4
1124075,송파구,잠실4동,0
1124077,송파구,잠실6동,7
1124078,송파구,잠실7동,0
1124079,송파구,잠실2동,0
1124080,송파구,잠실3동,1
1124081,송파구,장지동,0
1124082,송파구,위례동,2
1125051,강동구,강일동,1
1125052,강동구,상일동,1
1125053,강동구,명일1동,1
1125054,강동구,명일2동,1
1125055,강동구,고덕1동,0
1125056,강동구,고덕2동,0
1125058,강동구,암사2동,0
1125059,강동구,암사3동,1
1125061,강동구,천호1동,1
1125063,강동구,천호3동,2
1125065,강동구,성내1동,4
1125066,강동구,성내2동,2
1125067,강동구,성내3동,1
1125071,강동구,둔촌2동,1
1125072,강동구,암사1동,0
1125073,강동구,천호2동,1
1125074,강동구,길동,2
1125070,강동구,둔촌1동,0
