"구","동","인구","고령자","장애인구","기초생활수급인구","일반인구","고령자비율","장애인비율","기초비율","일반비율","정보화점수"
"중랑구","면목2동",25942,4224,1277,1255,19186,0.162824762932696,0.049225194665022,0.0483771490247475,0.739572893377535,0.894311849510446
"중랑구","면목4동",20052,3528,1268,1334,13922,0.175942549371634,0.0632355874725713,0.0665270297227209,0.694294833433074,0.880120785956513
"중랑구","면목5동",9825,1606,522,551,7146,0.163460559796438,0.0531297709923664,0.0560814249363868,0.727328244274809,0.891430330788804
"중랑구","면목7동",22200,3939,1043,845,16373,0.177432432432432,0.046981981981982,0.0380630630630631,0.737522522522522,0.889452342342342
"중랑구","상봉1동",25499,3444,1400,1397,19258,0.135064120161575,0.0549041138868191,0.0547864622142045,0.755245303737402,0.905254911957332
"중랑구","상봉2동",19844,2806,854,767,15417,0.141402942955049,0.0430356782906672,0.0386514815561379,0.776909897198146,0.908676224551502
"중랑구","중화1동",20916,3269,879,751,16017,0.156291834002677,0.0420252438324727,0.0359055268693823,0.765777395295468,0.902019315356665
"중랑구","중화2동",27274,4778,1593,1876,19027,0.175185158025959,0.0584072743271981,0.0687834567720173,0.697624110874826,0.881725342817335
"중랑구","묵1동",36016,5412,1461,856,28287,0.1502665482008,0.0405653043091959,0.0237672145713016,0.785400932918703,0.907518019768992
"중랑구","묵2동",19901,3247,905,792,14957,0.163157630269836,0.0454751017536807,0.0397969951258731,0.751570272850611,0.896802421988845
"중랑구","망우3동",17941,3094,981,1443,12423,0.172454155286773,0.0546792263530461,0.0804302993144195,0.692436319045761,0.882403099046876
"중랑구","신내1동",40854,6265,1949,1396,31244,0.153350957066627,0.0477064669310227,0.0341704606648064,0.764772115337543,0.901895554902825
"중랑구","신내2동",21905,3653,1471,1203,15578,0.166765578635015,0.0671536178954577,0.054918968272084,0.711161835197443,0.885327733394202
"중랑구","면목본동",36195,5729,1738,1806,26922,0.158281530598149,0.0480176820002763,0.0498963945296312,0.743804392871944,0.896732476861445
